player_name,death_sr_overall,sr_vs_ra_fast,sr_vs_la_fast,sr_vs_ra_off_spin,sr_vs_ra_leg_spin,sr_vs_la_spin,sr_vs_la_chinaman
S Badrinath,158.33,158.33,158.33,158.33,158.33,158.33,158.33
DM Bravo,106.25,108.89,106.25,106.25,66.67,106.25,106.25
BMAJ Mendis,129.09,129.09,129.09,129.09,129.09,129.09,129.09
HMRKB Herath,66.67,66.67,66.67,66.67,66.67,66.67,66.67
R Ashwin,117.36,114.53,200.0,117.36,117.36,117.36,117.36
SR Patel,115.87,108.93,100.0,266.67,115.87,100.0,115.87
JW Dernbach,79.17,79.17,79.17,79.17,79.17,79.17,79.17
CR Brathwaite,155.83,156.03,155.83,155.83,0.0,0.0,300.0
Nasir Hossain,114.49,113.74,175.0,66.67,114.49,114.49,114.49
MS Wade,147.8,144.84,217.65,145.83,128.57,140.0,100.0
RW Chakabva,113.79,113.79,113.79,113.79,113.79,113.79,113.79
MR Marsh,133.33,132.43,166.67,125.0,133.33,111.11,133.33
JD Ryder,74.07,74.07,74.07,74.07,74.07,74.07,74.07
MN Waller,157.01,158.33,157.01,120.0,157.01,166.67,157.01
KM Jarvis,90.0,90.0,90.0,90.0,90.0,90.0,90.0
JM Bairstow,149.68,146.26,50.0,100.0,149.68,149.68,350.0
GJ Bailey,154.79,158.57,154.79,66.67,154.79,154.79,154.79
XJ Doherty,105.88,100.0,105.88,120.0,105.88,105.88,105.88
KS Williamson,167.31,166.48,192.86,167.31,166.67,100.0,167.31
C de Grandhomme,122.09,122.62,122.09,122.09,100.0,122.09,122.09
RG Aga,153.33,153.33,153.33,153.33,153.33,153.33,153.33
NN Odhiambo,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SO Ngoche,126.85,126.85,126.85,126.85,126.85,126.85,126.85
E Otieno,43.24,43.24,43.24,43.24,43.24,43.24,43.24
JO Ngoche,18.75,18.75,18.75,18.75,18.75,18.75,18.75
DAJ Bracewell,167.24,168.52,167.24,150.0,167.24,167.24,167.24
JC Buttler,160.11,155.79,200.0,200.0,300.0,183.33,100.0
RR Patel,179.37,179.37,179.37,179.37,179.37,179.37,179.37
NM Odhiambo,156.98,156.98,156.98,156.98,156.98,156.98,156.98
PR Stirling,170.69,170.69,170.69,170.69,170.69,170.69,170.69
EC Joyce,111.11,115.69,111.11,33.33,111.11,111.11,111.11
NG Jones,112.0,100.0,100.0,160.0,112.0,112.0,112.0
AN Kervezee,93.75,93.75,93.75,93.75,93.75,93.75,93.75
Mudassar Bukhari,124.32,125.35,124.32,124.32,124.32,100.0,124.32
TN de Grooth,84.62,84.62,84.62,84.62,84.62,84.62,84.62
Junaid Siddiqui,93.33,93.33,93.33,93.33,93.33,93.33,93.33
H Osinde,73.33,73.33,73.33,73.33,73.33,73.33,73.33
KJ Coetzer,107.69,107.69,107.69,107.69,107.69,107.69,107.69
R Flannigan,117.86,117.86,117.86,117.86,117.86,117.86,117.86
CD Wallace,125.93,125.93,125.93,125.93,125.93,125.93,125.93
TG Gordon,123.08,123.08,123.08,123.08,123.08,123.08,123.08
AS Hansra,145.83,145.83,145.83,145.83,145.83,145.83,145.83
DF Watts,90.0,90.0,90.0,90.0,90.0,90.0,90.0
W Barresi,131.53,131.53,131.53,131.53,131.53,131.53,131.53
F Behardien,140.53,141.99,50.0,50.0,160.0,140.53,140.53
SP Narine,118.37,114.44,400.0,118.37,66.67,175.0,118.37
DT Christian,103.57,103.7,103.57,103.57,103.57,103.57,100.0
HDRL Thirimanne,120.75,127.08,0.0,100.0,120.75,120.75,120.75
Ahmed Shehzad,203.23,208.47,203.23,203.23,203.23,100.0,203.23
SMSM Senanayake,90.57,90.24,90.0,100.0,90.57,90.57,90.57
I Udana,157.98,166.36,157.98,157.98,66.67,0.0,150.0
AD Hales,164.29,170.13,164.29,100.0,164.29,164.29,100.0
TWM Latham,141.77,133.33,250.0,0.0,133.33,300.0,141.77
Ziaur Rahman,133.33,133.33,133.33,133.33,133.33,133.33,133.33
MC Sorensen,105.26,106.9,105.26,33.33,105.26,133.33,105.26
TGJ Gruijters,120.69,124.0,120.69,120.69,120.69,100.0,120.69
Tamim Iqbal,185.06,172.5,200.0,425.0,185.06,185.06,185.06
MR Swart,127.78,103.23,127.78,127.78,127.78,280.0,127.78
T van der Gugten,147.73,147.73,147.73,147.73,147.73,147.73,147.73
Ahsan Malik,109.09,109.09,109.09,109.09,109.09,109.09,109.09
V Kohli,182.11,185.45,192.31,150.0,100.0,66.67,100.0
GJ Maxwell,190.61,190.81,157.14,190.61,300.0,240.0,0.0
PJ Cummins,138.04,139.02,116.67,138.04,400.0,66.67,138.04
Raza Hasan,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Nasir Jamshed,216.67,216.67,216.67,216.67,216.67,216.67,216.67
J Charles,164.29,164.29,164.29,164.29,164.29,164.29,164.29
S Badree,51.85,51.92,50.0,51.85,51.85,51.85,51.85
MA Starc,98.89,100.0,50.0,98.89,98.89,98.89,98.89
JC Tredwell,152.38,138.46,175.0,152.38,152.38,152.38,152.38
RM Hira,143.48,143.48,143.48,143.48,143.48,143.48,143.48
MJ McClenaghan,100.0,100.0,100.0,100.0,100.0,100.0,100.0
F du Plessis,169.7,175.4,169.7,169.7,169.7,50.0,169.7
C Munro,142.16,142.16,142.16,142.16,142.16,142.16,142.16
B Kumar,87.72,88.68,75.0,87.72,87.72,87.72,87.72
CJ Anderson,161.99,167.92,100.0,100.0,161.99,33.33,161.99
TA Boult,107.14,85.71,107.14,107.14,214.29,107.14,107.14
JP Faulkner,124.73,126.58,124.73,66.67,124.73,200.0,124.73
NM Coulter-Nile,135.8,133.78,166.67,100.0,135.8,135.8,135.8
CJ Chibhabha,105.26,100.0,105.26,116.67,105.26,105.26,105.26
CT Mutombodzi,106.25,109.68,106.25,106.25,106.25,0.0,106.25
Usman Limbada,171.43,171.43,171.43,171.43,171.43,171.43,171.43
Hamza Tariq,159.14,159.14,159.14,159.14,159.14,159.14,159.14
Mominul Haque,136.0,136.0,136.0,136.0,136.0,136.0,136.0
Sohag Gazi,95.12,97.44,95.12,50.0,95.12,95.12,95.12
TLW Cooper,178.48,182.43,120.0,178.48,178.48,178.48,178.48
MJG Rippon,92.86,92.86,92.86,92.86,92.86,92.86,92.86
PA van Meekeren,126.83,121.92,260.0,50.0,126.83,126.83,126.83
Sikandar Raza,182.11,190.13,166.67,60.0,182.11,46.15,182.11
T Panyangara,54.55,60.0,54.55,54.55,54.55,0.0,54.55
BA Stokes,137.06,139.75,100.0,60.0,133.33,137.06,137.06
Zulfiqar Babar,96.43,105.88,96.43,81.82,96.43,96.43,96.43
D Wiese,142.72,142.71,190.0,25.0,142.72,142.72,142.72
Anwar Ali,169.05,169.05,169.05,169.05,169.05,169.05,169.05
T Maruma,128.57,128.57,128.57,128.57,128.57,128.57,128.57
JE Root,155.29,155.29,155.29,155.29,155.29,155.29,155.29
Sohaib Maqsood,165.38,165.38,165.38,165.38,165.38,165.38,165.38
MW Machan,148.0,148.0,148.0,148.0,148.0,148.0,148.0
RML Taylor,177.42,177.42,177.42,177.42,177.42,177.42,177.42
HM Amla,145.83,145.83,145.83,145.83,145.83,145.83,145.83
ES Szwarczynski,71.43,71.43,71.43,71.43,71.43,71.43,71.43
IA Karim,135.06,135.06,135.06,135.06,135.06,135.06,135.06
MA Leask,146.88,147.71,175.0,146.88,0.0,0.0,146.88
MH Cross,122.46,122.46,122.46,122.46,122.46,122.46,122.46
SM Sharif,111.94,111.94,111.94,111.94,111.94,111.94,111.94
Bilawal Bhatti,164.29,164.29,164.29,164.29,164.29,164.29,164.29
MDKJ Perera,144.35,144.35,144.35,144.35,144.35,144.35,144.35
JDS Neesham,147.38,151.01,129.41,22.22,175.0,100.0,147.38
CA Lynn,157.14,157.14,157.14,157.14,157.14,157.14,157.14
CJ Jordan,125.1,129.41,131.82,125.1,33.33,64.29,150.0
Anamul Haque,144.83,144.83,144.83,144.83,144.83,144.83,144.83
Sabbir Rahman,139.74,142.67,139.74,139.74,66.67,139.74,139.74
Arafat Sunny,106.25,106.25,106.25,106.25,106.25,106.25,106.25
AD Poynter,151.61,162.07,151.61,0.0,151.61,151.61,151.61
TJ Murtagh,115.0,115.0,115.0,115.0,115.0,115.0,115.0
MM Ali,156.2,161.83,105.88,50.0,188.89,33.33,156.2
BE Hendricks,75.0,107.69,14.29,75.0,75.0,75.0,75.0
G Malla,173.33,173.33,173.33,173.33,173.33,173.33,173.33
P Khadka,129.79,134.09,129.79,129.79,129.79,66.67,129.79
B Bhandari,118.07,118.07,118.07,118.07,118.07,118.07,118.07
S Vesawkar,146.75,147.3,146.75,146.75,146.75,133.33,146.75
SP Gauchan,52.17,52.17,52.17,52.17,52.17,52.17,52.17
Nadeem Ahmed,71.43,71.43,71.43,71.43,71.43,71.43,71.43
Haseeb Amjad,106.06,106.06,106.06,106.06,106.06,106.06,106.06
SR Thompson,112.5,114.29,112.5,112.5,112.5,112.5,0.0
Shaiman Anwar,180.49,180.52,180.49,180.49,180.0,180.49,180.49
Rohan Mustafa,116.13,116.13,116.13,116.13,116.13,116.13,116.13
Amjad Javed,131.07,131.07,131.07,131.07,131.07,131.07,131.07
V Shetty,78.57,78.57,78.57,78.57,78.57,78.57,78.57
EHSN Silva,73.68,73.68,73.68,73.68,73.68,73.68,73.68
Kamran Shazad,116.67,116.67,116.67,116.67,116.67,116.67,116.67
BN Cooper,148.24,148.81,100.0,148.24,148.24,148.24,148.24
SC Williams,158.62,156.55,158.62,158.62,158.62,216.67,158.62
V Sibanda,171.43,171.43,171.43,171.43,171.43,171.43,171.43
Munir Dar,170.0,170.0,170.0,170.0,170.0,170.0,170.0
Nizakat Khan,133.14,133.94,133.14,100.0,133.14,133.14,133.14
Tanwir Afzal,134.62,134.62,134.62,134.62,134.62,134.62,134.62
Imran Tahir,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S Prasanna,131.96,130.34,100.0,133.33,131.96,131.96,200.0
Q de Kock,142.11,145.71,100.0,142.11,142.11,100.0,142.11
KJ Abbott,116.67,125.0,116.67,116.67,50.0,116.67,116.67
