player_name,death_eco_overall,eco_vs_rhb,eco_vs_lhb
N Vanua,8.91,8.91,8.91
WT Gavera,7.89,7.89,7.89
JB Reva,10.62,10.62,10.62
Tanwir Afzal,14.31,14.31,14.31
Aizaz Khan,9.37,9.37,9.37
N Madziva,8.0,8.0,8.0
AR Patel,7.77,7.77,7.77
T Muzarabani,10.11,10.11,10.11
B Fernando,10.0,10.0,10.0
Imad Wasim,6.87,6.87,6.87
GSNFG Jayasuriya,16.0,16.0,16.0
IS Sodhi,9.03,9.03,9.03
K Rabada,9.2,9.2,9.2
RJW Topley,9.39,9.39,9.39
LM Jongwe,8.7,8.7,8.7
Imran Khan (1),10.0,10.0,10.0
PVD Chameera,8.83,8.83,8.83
TS Chisoro,5.0,5.0,5.0
AV Lalcheta,10.5,10.5,10.5
M Ansari,9.05,9.05,9.05
Bilal Khan,7.71,7.71,7.71
Khawar Ali,6.81,6.81,6.81
JDF Vandersay,8.67,8.67,8.67
WP Masakadza,8.31,8.31,8.31
Abu Hider,9.6,9.6,9.6
Anshuman Rath,7.5,7.5,7.5
BTJ Wheal,9.17,9.17,9.17
AJ Tye,9.01,9.01,9.01
SM Boland,6.32,6.32,6.32
JJ Bumrah,7.3,7.3,7.3
Ahmed Raza,6.68,6.68,6.68
Mohammad Naveed,6.0,6.0,6.0
MJG Rippon,6.83,6.83,6.83
MA Leask,7.66,7.66,7.66
CA Soper,9.05,9.05,9.05
S Prasanna,6.19,6.19,6.19
CAK Rajitha,11.07,11.07,11.07
HH Pandya,7.81,7.81,7.81
CA Young,8.74,8.74,8.74
MS Chapman,7.5,7.5,7.5
Zeeshan Maqsood,7.59,7.59,7.59
MM Ali,9.69,9.69,9.69
Arafat Sunny,10.5,10.5,10.5
A Zampa,8.41,8.41,8.41
DT Tiripano,8.97,8.97,8.97
CD de Lange,7.33,7.33,7.33
MW Machan,9.0,9.0,9.0
MJ Santner,7.67,7.67,7.67
S Badree,7.0,7.0,7.0
MD Shanaka,9.12,9.12,9.12
YS Chahal,9.7,9.7,9.7
JD Unadkat,9.04,9.04,9.04
BB Sran,8.14,8.14,8.14
DS Kulkarni,5.54,5.54,5.54
TS Mills,9.77,9.77,9.77
SS Pathirana,7.0,7.0,7.0
J Mulder,8.5,8.5,8.5
J Little,8.49,8.49,8.49
Tanveer Ahmed,8.57,8.57,8.57
Hasan Ali,9.47,9.47,9.47
Rumman Raees,10.38,10.38,10.38
BM Wheeler,9.57,9.57,9.57
LH Ferguson,8.25,8.25,8.25
Soumya Sarkar,10.92,10.92,10.92
Mosaddek Hossain,10.59,10.59,10.59
Mohammad Nadeem,10.41,10.41,10.41
Kaleemullah,9.21,9.21,9.21
Zahoor Khan,7.51,7.51,7.51
Ehsan Khan,6.66,6.66,6.66
CB Sole,10.4,10.4,10.4
DAS Gunaratne,7.5,7.5,7.5
JT Smuts,9.0,9.0,9.0
D Paterson,8.0,8.0,8.0
AL Phehlukwayo,10.5,10.5,10.5
C de Grandhomme,10.75,10.75,10.75
JRMVB Sanjaya,12.0,12.0,12.0
AJ Turner,4.5,4.5,4.5
JA Richardson,8.34,8.34,8.34
KOK Williams,10.07,10.07,10.07
Mohammad Saifuddin,9.85,9.85,9.85
Shadab Khan,7.08,7.08,7.08
A Nao,9.29,9.29,9.29
MA Wood,9.77,9.77,9.77
TK Curran,9.78,9.78,9.78
Kuldeep Yadav,8.59,8.59,8.59
BM Scholtz,7.43,7.43,7.43
JN Frylinck,7.98,7.98,7.98
